(不含提货日)",價格,比對結果,I-L欄,(I-L)/I,AR,,Accessorial Description,Accessorial Charge per Occurrence (RMB),,利潤,"AR
(RMB）",預計貨量,預計營收,預計成本,,,,,,,,
ShandongWeihai8TDRY,Shandong,Weihai,山东,威海,8T,DRY,1,4400,,京津-張學煜,3675,2,3675,3675,,3975,2,3675,蔡焱南,725,0.16477272727272727,4400,,,,,0,4400,,,,,,,,,,,
ShandongWeihai10TDRY,Shandong,Weihai,山东,威海,10T,DRY,1,5000,,京津-張學煜,3975,2,3750,3975,,3975,2,3975,蔡焱南,1025,0.205,5000,,,,,0,5000,,,,,,,,,,,
ShandongWeihai12TDRY,Shandong,Weihai,山东,威海,12T,DRY,1,5100,,京津-張學煜,4410,2,4080,4410,,4410,2,4410,蔡焱南,690,0.13529411764705881,5100,,,,,0,5100,,,,,,,,,,,
ShandongWeihai15TDRY,Shandong,Weihai,山东,威海,15T,DRY,1,5300,,京津-張學煜,5040,2,5040,5040,,5295,2,5040,蔡焱南,260,0.04905660377358491,5406,,,,,0.020000000000000018,5406,,,,,,,,,,,
ShandongWeihai25TDRY,Shandong,Weihai,山东,威海,25T,DRY,1,6200,,京津-張學煜,6510,2,6200,6510,,6510,2,6200,蔡焱南,-310,-0.05,6324,,,,,0.020000000000000018,6324,,,,,,,,,,,
ShandongWeihai26TDRY,Shandong,Weihai,山东,威海,26T,DRY,1,6300,,京津-張學煜,6950,2,6300,6950,,6950,2,6300,蔡焱南,-650,-0.10317460317460317,6678,,,,,0.06000000000000005,6678,,,,,,,,,,,
ShandongWeihai20'GPDRY - SOC,Shandong,Weihai,山东,威海,20'GP,DRY - SOC,1,6000,,京津-張學煜,3675,2,3675,3675,,3975,2,3675,蔡焱南,2325,0.3875,6000,,,,,0,6000,,,,,,,,,,,
ShandongWeihai40'HQDRY - SOC,Shandong,Weihai,山东,威海,40'HQ,DRY - SOC,1,6100,,京津-張學煜,6195,2,6195,6195,,6950,2,6100,總部產品,-95,-0.01557377049180328,6222,,,,,0.020000000000000018,6222,,,,,,,,,,,
AnhuiXuancheng10TDRY,Anhui,Xuancheng,安徽,宣城,10T,DRY,1,2050,,华东-孙理想,1880,1,1640,1880,,1880,1,1880,蔡焱南,170,0.08292682926829269,2050,,,,,0,2050,,,,,,,,,,,
AnhuiXuancheng12TDRY,Anhui,Xuancheng,安徽,宣城,12T,DRY,1,2150,,华东-孙理想,2205,1,2150,2205,,2205,1,2150,蔡焱南,-55,-0.02558139534883721,2193,,,,,0.020000000000000018,2193,,,,,,,,,,,
AnhuiXuancheng15TDRY,Anhui,Xuancheng,安徽,宣城,15T,DRY,1,2250,,华东-孙理想,2320,1,2250,2320,,2320,1,2250,蔡焱南,-70,-0.03111111111111111,2295,,,,,0.020000000000000018,2295,12,27540,27000,,,,,,,,
AnhuiXuancheng25TDRY,Anhui,Xuancheng,安徽,宣城,25T,DRY,1,2850,,华东-孙理想,2875,1,2850,2875,,2875,1,2850,蔡焱南,-25,-0.008771929824561403,2907,,,,,0.020000000000000018,2907,,,,,,,,,,,
AnhuiXuancheng20'GPDRY - SOC,Anhui,Xuancheng,安徽,宣城,20'GP,DRY - SOC,1,1950,,华东-孙理想,1655,1,1560,1655,,1655,1,1655,蔡焱南,295,0.15128205128205127,1950,,,,,0,1950,,,,,,,,,,,
AnhuiXuancheng40'HQDRY - SOC,Anhui,Xuancheng,安徽,宣城,40'HQ,DRY - SOC,1,3050,,华东-孙理想,2875,1,2440,2875,,2875,1,2875,蔡焱南,175,0.05737704918032787,3111,,,,,0.020000000000000018,3111,,,,,,,,,,,
JiangsuYangzhou3TDRY,Jiangsu,Yangzhou,江苏,扬州,3T,DRY,1,1150,,华东-孙理想,1008,1,1008,1008,,1055,1,1008,蔡焱南,142,0.12347826086956522,1150,,,,,0,1150,,,,,,,,,,,
JiangsuYangzhou10TDRY,Jiangsu,Yangzhou,江苏,扬州,10T,DRY,1,2050,,华东-孙理想,2205,1,2050,2205,,2205,1,2050,蔡焱南,-155,-0.07560975609756097,2173,,,,,0.06000000000000005,2173,,,,,,,,,,,
JiangsuYangzhou15TDRY,Jiangsu,Yangzhou,江苏,扬州,15T,DRY,1,2250,,华东-孙理想,2650,1,2677.5,2650,2250,2650,1,2250,總部產品,-400,-0.17777777777777778,2385,,,,,0.06000000000000005,2385,,,,,,,,,,,
JiangsuYangzhou25TDRY,Jiangsu,Yangzhou,江苏,扬州,25T,DRY,1,2850,,华东-孙理想,2850,1,3150,2850,2850,3090,1,2850,總部產品,0,,2850,,,,,0,2850,,,,,,,,,,,
JiangsuYangzhou26TDRY,Jiangsu,Yangzhou,江苏,扬州,26T,DRY,1,3050,,华东-孙理想,3200,1,3050,3200,,3200,1,3050,蔡焱南,-150,-0.04918032786885246,3111,,,,,0.020000000000000018,3111,,,,,,,,,,,
JiangsuYangzhou20'GPDRY - SOC,Jiangsu,Yangzhou,江苏,扬州,20'GP,DRY - SOC,1,1950,,华东-孙理想,1990,1,1950,1990,,1990,1,1950,蔡焱南,-40,-0.020512820512820513,1989,,,,,0.020000000000000018,1989,,,,,,,,,,,
JiangsuYangzhou40'HQDRY - SOC,Jiangsu,Yangzhou,江苏,扬州,40'HQ,DRY - SOC,1,3050,,华东-孙理想,3200,1,3050,3200,,3200,1,3050,蔡焱南,-150,-0.04918032786885246,3111,,,,,0.020000000000000018,3111,,,,,,,,,,,
ShandongYantai5TDRY,Shandong,Yantai,山东,烟台,5T,DRY,1,4000,,京津-張學煜,3310,2,3200,3310,,3310,2,3310,蔡焱南,690,0.1725,4000,,,,,0,4000,,,,,,,,,,,
ShandongYantai8TDRY,Shandong,Yantai,山东,烟台,8T,DRY,1,4400,,京津-張學煜,3535,2,3520,3535,,3535,2,3535,蔡焱南,865,0.1965909090909091,4400,,,,,0,4400,,,,,,,,,,,
ShandongYantai10TDRY,Shandong,Yantai,山东,烟台,10T,DRY,1,5000,,京津-張學煜,3975,2,3750,3975,,3975,2,3975,蔡焱南,1025,0.205,5000,,,,,0,5000,,,,,,,,,,,
ShandongYantai12TDRY,Shandong,Yantai,山东,烟台,12T,DRY,1,5200,,京津-張學煜,4410,2,4160,4410,,4410,2,4410,蔡焱南,790,0.1519230769230769,5200,,,,,0,5200,,,,,,,,,,,
ShandongYantai15TDRY,Shandong,Yantai,山东,烟台,15T,DRY,1,5300,,京津-張學煜,4725,2,4725,4725,,4965,2,4725,蔡焱南,575,0.10849056603773585,5300,,,,,0,5300,,,,,,,,,,,
ShandongYantai25TDRY,Shandong,Yantai,山东,烟台,25T,DRY,1,6200,,京津-張學煜,6400,2,6200,6400,,6400,2,6200,蔡焱南,-200,-0.03225806451612903,6324,,,,,0.020000000000000018,6324,,,,,,,,,,,
ShandongYantai26TDRY,Shandong,Yantai,山东,烟台,26T,DRY,1,6800,,京津-張學煜,6840,2,6800,6840,,6840,2,6800,蔡焱南,-40,-0.0058823529411764705,6936,,,,,0.020000000000000018,6936,,,,,,,,,,,
ShandongYantai20'GPDRY - SOC,Shandong,Yantai,山东,烟台,20'GP,DRY - SOC,1,6000,,京津-張學煜,3535,2,3520,3535,,3535,2,3535,蔡焱南,2465,0.41083333333333333,6000,,,,,0,6000,,,,,,,,,,,
ShandongYantai40'HQDRY - SOC,Shandong,Yantai,山东,烟台,40'HQ,DRY - SOC,1,6100,,京津-張學煜,6400,2,6100,6400,,6400,2,6100,蔡焱南,-300,-0.04918032786885246,6222,,,,,0.020000000000000018,6222,,,,,,,,,,,
GuangdongZhaoqing3TDRY,Guangdong,Zhaoqing,广东,肇庆,3T,DRY,,3950,,华南 - 许建生,3310,3,3160,3310,,3310,3,3310,蔡焱南,640,0.1620253164556962,3950,,,,,0,3950,,,,,,,,,,,
GuangdongZhaoqing8TDRY,Guangdong,Zhaoqing,广东,肇庆,8T,DRY,,5450,,华南 - 许建生,4085,3,4085,4085,,4085,3,4085,蔡焱南,1365,0.25045871559633026,5450,,,,,0,5450,,,,,,,,,,,
GuangdongZhaoqing10TDRY,Guangdong,Zhaoqing,广东,肇庆,10T,DRY,,5600,,华南 - 许建生,4965,3,4480,4965,,4965,3,4965,蔡焱南,635,0.11339285714285714,5600,,,,,0,5600,,,,,,,,,,,
GuangdongZhaoqing12TDRY,Guangdong,Zhaoqing,广东,肇庆,12T,DRY,,5700,,华南 - 许建生,5080,3,4560,5080,,5080,3,5080,蔡焱南,620,0.10877192982456141,5700,,,,,0,5700,,,,,,,,,,,
GuangdongZhaoqing15TDRY,Guangdong,Zhaoqing,广东,肇庆,15T,DRY,,5800,,华南 - 许建生,5080,3,4640,5080,,5080,3,5080,蔡焱南,720,0.12413793103448276,5800,,,,,0,5800,,,,,,,,,,,
GuangdongZhaoqing25TDRY,Guangdong,Zhaoqing,广东,肇庆,25T,DRY,,7900,,华南 - 许建生,6840,3,6320,6840,,6840,3,6840,蔡焱南,1060,0.1341772151898734,7900,,,,,0,7900,,,,,,,,,,,
GuangdongZhaoqing26TDRY,Guangdong,Zhaoqing,广东,肇庆,26T,DRY,,8000,,华南 - 许建生,6840,3,6400,6840,,6840,3,6840,蔡焱南,1160,0.145,8000,,,,,0,8000,,,,,,,,,,,
GuangdongZhaoqing20'GPDRY - SOC,Guangdong,Zhaoqing,广东,肇庆,20'GP,DRY - SOC,,5450,DRY - SOC（8T车代替）,华南 - 许建生,4965,3,4087.5,4965,,4965,3,4965,蔡焱南,485,0.0889908256880734,5450,,,,,0,5450,,,,,,,,,,,
GuangdongZhaoqing40'HQDRY - SOC,Guangdong,Zhaoqing,广东,肇庆,40'HQ,DRY - SOC,,7350,DRY - SOC（自备柜）,华南 - 许建生,6950,3,5880,6950,,6950,3,6950,蔡焱南,400,0.05442176870748299,7497,,,,,0.020000000000000018,7497,,,,,,,,,,,
GuangdongZhongshan20'GPDRY - SOC,Guangdong,Zhongshan,广东,中山,20'GP,DRY - SOC,,5300,DRY - SOC（8T车代替）,华南 - 许建生,4965,3,4240,4965,,4965,3,4965,蔡焱南,335,0.06320754716981132,5406,,,,,0.020000000000000018,5406,,,,,,,,,,,
GuangdongZhongshan5TDRY,Guangdong,Zhongshan,广东,中山,5T,DRY,,5200,,华南 - 许建生,3975,3,3900,3975,,3975,3,3975,蔡焱南,1225,0.23557692307692307,5200,,,,,0,5200,,,,,,,,,,,
GuangdongZhongshan8TDRY,Guangdong,Zhongshan,广东,中山,8T,DRY,,5300,,华南 - 许建生,4085,3,3975,4085,,4085,3,4085,蔡焱南,1215,0.22924528301886793,5300,,,,,0,5300,,,,,,,,,,,
GuangdongZhongshan25TDRY,Guangdong,Zhongshan,广东,中山,25T,DRY,,8200,,华南 - 许建生,6615,3,6560,6615,,6615,3,6615,蔡焱南,1585,0.19329268292682927,8200,,,,,0,8200,,,,,,,,,,,
GuangdongZhuhai5TDRY,Guangdong,Zhuhai,广东,珠海,5T,DRY,,5200,,华南 - 许建生,3860,3,3860,3860,,3860,3,3860,蔡焱南,1340,0.25769230769230766,5200,,,,,0,5200,1,5200,5200,,,,,,,,
GuangdongZhuhai8TDRY,Guangdong,Zhuhai,广东,珠海,8T,DRY,,5300,,华南 - 许建生,4195,3,3975,4195,,4195,3,4195,蔡焱南,1105,0.20849056603773586,5300,,,,,0,5300,,,,,,,,,,,
GuangdongZhuhai10TDRY,Guangdong,Zhuhai,广东,珠海,10T,DRY,,5600,,华南 - 许建生,4965,3,4480,4965,,4965,3,4965,蔡焱南,635,0.11339285714285714,5600,,,,,0,5600,,,,,,,,,,,
GuangdongZhuhai12TDRY,Guangdong,Zhuhai,广东,珠海,12T,DRY,,5700,,华南 - 许建生,5185,3,4560,5185,,5185,3,5185,蔡焱南,515,0.09035087719298246,5700,,,,,0,5700,,,,,,,,,,,
GuangdongZhuhai15TDRY,Guangdong,Zhuhai,广东,珠海,15T,DRY,,5800,,华南 - 许建生,5295,3,4640,5295,,5295,3,5295,蔡焱南,505,0.08706896551724137,5800,,,,,0,5800,,,,,,,,,,,
GuangdongZhuhai20'GPDRY - SOC,Guangdong,Zhuhai,广东,珠海,20'GP,DRY - SOC,,5300,DRY - SOC（8T车代替）,华南 - 许建生,4965,3,3975,4965,,4965,3,4965,蔡焱南,335,0.06320754716981132,5406,,,,,0.020000000000000018,5406,,,,,,,,,,,
GuangdongZhuhai25TDRY,Guangdong,Zhuhai,广东,珠海,25T,DRY,,8200,,华南 - 许建生,6615,3,6560,6615,,6615,3,6615,蔡焱南,1585,0.19329268292682927,8200,,,,,0,8200,,,,,,,,,,,
GuangdongZhuhai26TDRY,Guangdong,Zhuhai,广东,珠海,26T,DRY,,8300,,华南 - 许建生,6840,3,6640,6840,,6840,3,6840,蔡焱南,1460,0.17590361445783131,8300,,,,,0,8300,,,,,,,,,,,
HunanZixing3TDRY,Hunan,Zixing,湖南,资兴,3T,DRY,,3400,,华中-王莲花,2760,3,2720,2760,,2760,3,2760,蔡焱南,640,0.18823529411764706,3400,,,,,0,3400,,,,,,,,,,,
HunanZixing5TDRY,Hunan,Zixing,湖南,资兴,5T,DRY,,3520,,华中-王莲花,3150,3,3150,3150,,3310,3,3150,蔡焱南,370,0.10511363636363637,3520,,,,,0,3520,,,,,,,,,,,
HunanZixing10TDRY,Hunan,Zixing,湖南,资兴,10T,DRY,,5000,,华中-王莲花,4200,3,4200,4200,,4410,3,4200,蔡焱南,800,0.16,5000,,,,,0,5000,3,15000,15000,,,,,,,,
HunanZixing15TDRY,Hunan,Zixing,湖南,资兴,15T,DRY,,5650,,华中-王莲花,4745,3,4520,4745,,4745,3,4745,蔡焱南,905,0.16017699115044248,5650,,,,,0,5650,,,,,,,,,,,
HunanZixing25TDRY,Hunan,Zixing,湖南,资兴,25T,DRY,,7150,,华中-王莲花,5880,3,5880,5880,,6180,3,5880,蔡焱南,1270,0.17762237762237762,7150,,,,,0,7150,,,,,,,,,,,
HunanZixing26TDRY,Hunan,Zixing,湖南,资兴,26T,DRY,,7150,,华中-王莲花,5880,3,5880,5880,,6615,3,5880,蔡焱南,1270,0.17762237762237762,7150,,,,,0,7150,,,,,,,,,,,
HunanZixing20'GPDRY - SOC,Hunan,Zixing,湖南,资兴,20'GP,DRY - SOC,,7250,,华中-王莲花,3425,3,3262.5,3425,,3425,3,3425,蔡焱南,3825,0.5275862068965518,7250,,,,,0,7250,,,,,,,,,,,
HunanZixing40'HQDRY - SOC,Hunan,Zixing,湖南,资兴,40'HQ,DRY - SOC,,8250,,华中-王莲花,6180,3,6180,6180,,6180,3,6180,蔡焱南,2070,0.2509090909090909,8250,,,,,0,8250,,,,,,,,,,,
GuangxiBeihai3TDRY,Guangxi,Beihai,广西,北海,3T,DRY,,5000,,华南 - 许建生,4085,4,4000,4085,,4085,4,4085,蔡焱南,915,0.183,5000,,,,,0,5000,,,,,,,,,,,
GuangxiBeihai5TDRY,Guangxi,Beihai,广西,北海,5T,DRY,,7000,,华南 - 许建生,5405,4,5250,5405,,5405,4,5405,蔡焱南,1595,0.22785714285714287,7000,,,,,0,7000,,,,,,,,,,,
GuangxiBeihai8TDRY,Guangxi,Beihai,广西,北海,8T,DRY,,7100,,华南 - 许建生,5515,4,5325,5515,,5515,4,5515,蔡焱南,1585,0.22323943661971832,7100,,,,,0,7100,,,,,,,,,,,
GuangxiBeihai10TDRY,Guangxi,Beihai,广西,北海,10T,DRY,,7300,,华南 - 许建生,6290,4,5840,6290,,6290,4,6290,蔡焱南,1010,0.13835616438356163,7300,,,,,0,7300,,,,,,,,,,,
GuangxiBeihai12TDRY,Guangxi,Beihai,广西,北海,12T,DRY,,7400,,华南 - 许建生,6510,4,5920,6510,,6510,4,6510,蔡焱南,890,0.12027027027027028,7400,,,,,0,7400,,,,,,,,,,,
GuangxiBeihai15TDRY,Guangxi,Beihai,广西,北海,15T,DRY,,7500,,华南 - 许建生,6615,4,6000,6615,,6615,4,6615,蔡焱南,885,0.118,7500,,,,,0,7500,,,,,,,,,,,
GuangxiBeihai25TDRY,Guangxi,Beihai,广西,北海,25T,DRY,,10000,,华南 - 许建生,8820,4,8000,8820,,8820,4,8820,蔡焱南,1180,0.118,10000,,,,,0,10000,,,,,,,,,,,
GuangxiBeihai26TDRY,Guangxi,Beihai,广西,北海,26T,DRY,,10700,,华南 - 许建生,9045,4,8560,9045,,9045,4,9045,蔡焱南,1655,0.15467289719626168,10700,,,,,0,10700,,,,,,,,,,,
GuangxiBeihai20'GPDRY - SOC,Guangxi,Beihai,广西,北海,20'GP,DRY - SOC,,7100,DRY - SOC（8T车代替）,华南 - 许建生,6290,4,5325,6290,,6290,4,6290,蔡焱南,810,0.11408450704225352,7100,,,,,0,7100,,,,,,,,,,,
GuangxiBeihai40'HQDRY - SOC,Guangxi,Beihai,广西,北海,40'HQ,DRY - SOC,,9400,DRY - SOC（自备柜）,华南 - 许建生,8820,4,7520,8820,,8820,4,8820,蔡焱南,580,0.06170212765957447,9588,,,,,0.020000000000000018,9588,,,,,,,,,,,
ZhejiangWenzhou3TDRY,Zhejiang,Wenzhou,浙江,温州,3T,DRY,1,1450,,华东-孙理想,1220,1,1160,1220,,1220,1,1220,蔡焱南,230,0.15862068965517243,1450,,,,,0,1450,,,,,,,,,,,
ZhejiangWenzhou5TDRY,Zhejiang,Wenzhou,浙江,温州,5T,DRY,1,2450,,华东-孙理想,1655,1,1592.5,1655,,1655,1,1655,蔡焱南,795,0.32448979591836735,2450,,,,,0,2450,,,,,,,,,,,
ZhejiangWenzhou8TDRY,Zhejiang,Wenzhou,浙江,温州,8T,DRY,1,2550,,华东-孙理想,1770,1,1657.5,1770,,1770,1,1770,蔡焱南,780,0.3058823529411765,2550,,,,,0,2550,,,,,,,,,,,
ZhejiangWenzhou10TDRY,Zhejiang,Wenzhou,浙江,温州,10T,DRY,1,2750,,华东-孙理想,1880,1,1787.5,1880,,1880,1,1880,蔡焱南,870,0.31636363636363635,2750,,,,,0,2750,,,,,,,,,,,
ZhejiangWenzhou12TDRY,Zhejiang,Wenzhou,浙江,温州,12T,DRY,1,2850,,华东-孙理想,1890,1,1890,1890,,1990,1,1890,蔡焱南,960,0.3368421052631579,2850,,,,,0,2850,,,,,,,,,,,
ZhejiangWenzhou15TDRY,Zhejiang,Wenzhou,浙江,温州,15T,DRY,1,3000,,华东-孙理想,2205,1,2100,2205,,2205,1,2205,蔡焱南,795,0.265,3000,,,,,0,3000,,,,,,,,,,,
ZhejiangWenzhou25TDRY,Zhejiang,Wenzhou,浙江,温州,25T,DRY,1,3950,,华东-孙理想,2625,1,2625,2625,,2760,1,2625,蔡焱南,1325,0.33544303797468356,3950,,,,,0,3950,,,,,,,,,,,
ZhejiangWenzhou26TDRY,Zhejiang,Wenzhou,浙江,温州,26T,DRY,1,4250,,华东-孙理想,2760,1,2760,2760,,2760,1,2760,蔡焱南,1490,0.35058823529411764,4250,,,,,0,4250,,,,,,,,,,,
ZhejiangWenzhou20'GPDRY - SOC,Zhejiang,Wenzhou,浙江,温州,20'GP,DRY - SOC,1,2550,,华东-孙理想,1770,1,1657.5,1770,,1770,1,1770,蔡焱南,780,0.3058823529411765,2550,,,,,0,2550,,,,,,,,,,,
ZhejiangWenzhou40'HQDRY - SOC,Zhejiang,Wenzhou,浙江,温州,40'HQ,DRY - SOC,1,3750,,华东-孙理想,2760,1,2625,2760,,2760,1,2760,蔡焱南,990,0.264,3750,,,,,0,3750,,,,,,,,,,,
