(不含提货日)",價格,比對結果,I-L欄,(I-L)/I,AR,,Accessorial Description,Accessorial Charge per Occurrence (RMB),,利潤,"AR
(RMB）",預計貨量,預計營收,預計成本,,,,,,,,
GuangdongJiangmen3TDRY,Guangdong,Jiangmen,广东,江门,3T,DRY,,3900,,华南 - 许建生,3310,3,3120,3310,,3310,3,3310,蔡焱南,590,0.15128205128205127,3900,,,,,0,3900,1,3900,3900,,,,,,,,
GuangdongShantou10TDRY,Guangdong,Shantou,广东,汕头,10T,DRY,,5100,,华南 - 许建生,4250,3,4080,4250,,4250,3,4250,蔡焱南,850,0.16666666666666666,5100,,,,,0,5100,,,,,,,,,,,
GuangdongShantou3TDRY,Guangdong,Shantou,广东,汕头,3T,DRY,,3600,,华南 - 许建生,2705,3,2700,2705,,2705,3,2705,蔡焱南,895,0.24861111111111112,3600,,,,,0,3600,,,,,,,,,,,
GuangdongShantou5TDRY,Guangdong,Shantou,广东,汕头,5T,DRY,,4800,,华南 - 许建生,3310,3,3120,3310,,3310,3,3310,蔡焱南,1490,0.3104166666666667,4800,,,,,0,4800,,,,,,,,,,,
GuangdongShantouREF_3TREEFER,Guangdong,Shantou,广东,汕头,REF_3T,REEFER,,,,华南 - 许建生,,0,0,0,,0,0,0,總部產品,,,,,,,,,,,,,,,,,,,,
GuangdongShantouREF_5TREEFER,Guangdong,Shantou,广东,汕头,REF_5T,REEFER,,,,华南 - 许建生,,0,0,0,,0,0,0,總部產品,,,,,,,,,,,,,,,,,,,,
GuangdongShantou40'HQDRY - SOC,Guangdong,Shantou,广东,汕头,40'HQ,DRY - SOC,,6900,DRY - SOC（自备柜）,华南 - 许建生,5740,3,5520,5740,,5740,3,5740,蔡焱南,1160,0.1681159420289855,6900,,,,,0,6900,1,6900,6900,,,,,,,,
GuangdongShenzhen10TDRY,Guangdong,Shenzhen,广东,深圳,10T,DRY,,5300,,华南 - 许建生,4635,3,4240,4635,,4635,3,4635,蔡焱南,665,0.12547169811320755,5300,,,,,0,5300,,,,,,,,,,,
GuangdongShenzhen12TDRY,Guangdong,Shenzhen,广东,深圳,12T,DRY,,5400,,华南 - 许建生,4855,3,4320,4855,,4855,3,4855,蔡焱南,545,0.10092592592592593,5400,,,,,0,5400,3,16200,16200,,,,,,,,
GuangdongShenzhen15TDRY,Guangdong,Shenzhen,广东,深圳,15T,DRY,,5500,,华南 - 许建生,5080,3,4400,5080,,5080,3,5080,蔡焱南,420,0.07636363636363637,5500,,,,,0,5500,,,,,,,,,,,
GuangdongShenzhen25TDRY,Guangdong,Shenzhen,广东,深圳,25T,DRY,,7700,,华南 - 许建生,6510,3,6160,6510,,6510,3,6510,蔡焱南,1190,0.15454545454545454,7700,,,,,0,7700,38,292600,292600,,,,,,,,
GuangdongShenzhen26TDRY,Guangdong,Shenzhen,广东,深圳,26T,DRY,,7800,,华南 - 许建生,6510,3,6240,6510,,6510,3,6510,蔡焱南,1290,0.16538461538461538,7800,,,,,0,7800,,,,,,,,,,,
GuangdongShenzhen3TDRY,Guangdong,Shenzhen,广东,深圳,3T,DRY,,3800,,华南 - 许建生,3200,3,3040,3200,,3200,3,3200,蔡焱南,600,0.15789473684210525,3800,,,,,0,3800,,,,,,,,,,,
GuangdongShenzhen5TDRY,Guangdong,Shenzhen,广东,深圳,5T,DRY,,4800,,华南 - 许建生,3860,3,3840,3860,,3860,3,3860,蔡焱南,940,0.19583333333333333,4800,,,,,0,4800,,,,,,,,,,,
GuangdongShenzhen8TDRY,Guangdong,Shenzhen,广东,深圳,8T,DRY,,4900,,华南 - 许建生,3975,3,3920,3975,,3975,3,3975,蔡焱南,925,0.18877551020408162,4900,,,,,0,4900,,,,,,,,,,,
GuangdongShenzhen40'HQDRY - SOC,Guangdong,Shenzhen,广东,深圳,40'HQ,DRY - SOC,,6900,DRY - SOC（自备柜）,华南 - 许建生,6510,3,5520,6510,,6510,3,6510,蔡焱南,390,0.05652173913043478,7038,,,,,0.020000000000000018,7038,,,,,,,,,,,
GuangdongZhaoqing5TDRY,Guangdong,Zhaoqing,广东,肇庆,5T,DRY,,5300,,华南 - 许建生,4025,3,3975,4025,,4025,3,4025,蔡焱南,1275,0.24056603773584906,5300,,,,,0,5300,1,5300,5300,,,,,,,,
GuangdongZhongshan10TDRY,Guangdong,Zhongshan,广东,中山,10T,DRY,,5600,,华南 - 许建生,4965,3,4480,4965,,4965,3,4965,蔡焱南,635,0.11339285714285714,5600,,,,,0,5600,,,,,,,,,,,
GuangdongZhongshan12TDRY,Guangdong,Zhongshan,广东,中山,12T,DRY,,5700,,华南 - 许建生,5080,3,4560,5080,,5080,3,5080,蔡焱南,620,0.10877192982456141,5700,,,,,0,5700,10,57000,57000,,,,,,,,
GuangdongZhongshan15TDRY,Guangdong,Zhongshan,广东,中山,15T,DRY,,5800,,华南 - 许建生,5295,3,4640,5295,,5295,3,5295,蔡焱南,505,0.08706896551724137,5800,,,,,0,5800,,,,,,,,,,,
GuangdongZhongshan26TDRY,Guangdong,Zhongshan,广东,中山,26T,DRY,,8300,,华南 - 许建生,6615,3,6225,6615,,6615,3,6615,蔡焱南,1685,0.20301204819277108,8300,,,,,0,8300,,,,,,,,,,,
GuangdongZhongshan3TDRY,Guangdong,Zhongshan,广东,中山,3T,DRY,,3900,,华南 - 许建生,3310,3,3120,3310,,3310,3,3310,蔡焱南,590,0.15128205128205127,3900,,,,,0,3900,,,,,,,,,,,
GuangdongZhongshan40'HQDRY - SOC,Guangdong,Zhongshan,广东,中山,40'HQ,DRY - SOC,,7400,DRY - SOC（自备柜）,华南 - 许建生,6615,3,5920,6615,,6615,3,6615,蔡焱南,785,0.10608108108108108,7400,,,,,0,7400,1,7400,7400,,,,,,,,
GuangdongZhuhai3TDRY,Guangdong,Zhuhai,广东,珠海,3T,DRY,,3900,,华南 - 许建生,3310,3,3120,3310,,3310,3,3310,蔡焱南,590,0.15128205128205127,3900,,,,,0,3900,1,3900,3900,,,,,,,,
GuangdongZhuhai40'HQDRY - SOC,Guangdong,Zhuhai,广东,珠海,40'HQ,DRY - SOC,,7400,DRY - SOC（自备柜）,华南 - 许建生,6615,3,5920,6615,,6615,3,6615,蔡焱南,785,0.10608108108108108,7400,,,,,0,7400,,,,,,,,,,,
GuangxiHechi26TDRY,Guangxi,Hechi,广西,河池,26T,DRY,,10500,,华南 - 许建生,8935,4,8400,8935,,8935,4,8935,蔡焱南,1565,0.14904761904761904,10500,,,,,0,10500,,,,,,,,,,,
GuangxiHechi5TDRY,Guangxi,Hechi,广西,河池,5T,DRY,,7000,,华南 - 许建生,4745,4,4745,4745,,4745,4,4745,蔡焱南,2255,0.3221428571428571,7000,,,,,0,7000,,,,,,,,,,,
GuangxiPubei10TDRY,Guangxi,Pubei,广西,浦北县,10T,DRY,,7300,,华南 - 许建生,5955,4,5840,5955,,5955,4,5955,蔡焱南,1345,0.18424657534246575,7300,,,,,0,7300,,,,,,,,,,,
GuangxiPubei12TDRY,Guangxi,Pubei,广西,浦北县,12T,DRY,,7400,,华南 - 许建生,6510,4,5920,6510,,6510,4,6510,蔡焱南,890,0.12027027027027028,7400,,,,,0,7400,,,,,,,,,,,
GuangxiPubei15TDRY,Guangxi,Pubei,广西,浦北县,15T,DRY,,7500,,华南 - 许建生,6615,4,6000,6615,,6615,4,6615,蔡焱南,885,0.118,7500,,,,,0,7500,,,,,,,,,,,
GuangxiPubei26TDRY,Guangxi,Pubei,广西,浦北县,26T,DRY,,10700,,华南 - 许建生,8935,4,8560,8935,,8935,4,8935,蔡焱南,1765,0.1649532710280374,10700,,,,,0,10700,,,,,,,,,,,
GuangxiPubei40'HQDRY - SOC,Guangxi,Pubei,广西,浦北县,40'HQ,DRY - SOC,,9400,DRY - SOC（自备柜）,华南 - 许建生,8820,4,7520,8820,,8820,4,8820,蔡焱南,580,0.06170212765957447,9588,,,,,0.020000000000000018,9588,12,115056,112800,,,,,,,,
GuangxiPubei45'HQDRY - SOC,Guangxi,Pubei,广西,浦北县,45'HQ,DRY - SOC,,9700,DRY - SOC（自备柜）,华南 - 许建生,8935,4,7760,8935,,8935,4,8935,蔡焱南,765,0.0788659793814433,9700,,,,,0,9700,,,,,,,,,,,
GuangxiQinzhou10TDRY,Guangxi,Qinzhou,广西,钦州,10T,DRY,,7300,,华南 - 许建生,6290,4,5840,6290,,6290,4,6290,蔡焱南,1010,0.13835616438356163,7300,,,,,0,7300,,,,,,,,,,,
GuangxiQinzhou12TDRY,Guangxi,Qinzhou,广西,钦州,12T,DRY,,7400,,华南 - 许建生,6510,4,5920,6510,,6510,4,6510,蔡焱南,890,0.12027027027027028,7400,,,,,0,7400,,,,,,,,,,,
GuangxiQinzhou15TDRY,Guangxi,Qinzhou,广西,钦州,15T,DRY,,7500,,华南 - 许建生,6615,4,6000,6615,,6615,4,6615,蔡焱南,885,0.118,7500,,,,,0,7500,,,,,,,,,,,
GuangxiQinzhou26TDRY,Guangxi,Qinzhou,广西,钦州,26T,DRY,,10700,,华南 - 许建生,9045,4,8560,9045,,9045,4,9045,蔡焱南,1655,0.15467289719626168,10700,,,,,0,10700,85,909500,909500,,,,,,,,
GuangxiQinzhou5TDRY,Guangxi,Qinzhou,广西,钦州,5T,DRY,,7000,,华南 - 许建生,5405,4,5250,5405,,5405,4,5405,蔡焱南,1595,0.22785714285714287,7000,,,,,0,7000,,,,,,,,,,,
GuangxiQinzhou8TDRY,Guangxi,Qinzhou,广西,钦州,8T,DRY,,7100,,华南 - 许建生,5515,4,5325,5515,,5515,4,5515,蔡焱南,1585,0.22323943661971832,7100,,,,,0,7100,,,,,,,,,,,
GuangxiQinzhou40'HQDRY - SOC,Guangxi,Qinzhou,广西,钦州,40'HQ,DRY - SOC,,9400,DRY - SOC（自备柜）,华南 - 许建生,8820,4,7520,8820,,8820,4,8820,蔡焱南,580,0.06170212765957447,9588,,,,,0.020000000000000018,9588,17,162996,159800,,,,,,,,
