起运省,起运市,起运区县,目的省,目的市,目的区县,货物名称,运掌柜车长,运掌柜平台车型,状态,错误,基地,本地原始车型,查询起运区县,查询目的区县,查询目的区县来源,查询级别,市场价低,市场价高,市场参考价,距离km,可见样本数
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,4.2,厢式,成功,,,,河间市,浦东新区,输入区县,区县级,,,,1110,0
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,4.2,厢式,成功,,,,河间市,奉贤区,输入区县,区县级,,,,1118,0
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,河间市,浦东新区,输入区县,区县级,,,,1110,0
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,河间市,奉贤区,输入区县,区县级,,,,1118,0
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,河间市,浦东新区,输入区县,区县级,,,,1110,0
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,河间市,奉贤区,输入区县,区县级,,,,1118,0
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,6.8,厢式,成功,,,,河间市,浦东新区,输入区县,区县级,,,,1123,0
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,6.8,厢式,成功,,,,河间市,奉贤区,输入区县,区县级,,,,1122,0
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,河间市,浦东新区,输入区县,区县级,,,,1123,0
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,河间市,奉贤区,输入区县,区县级,,,,1122,0
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,河间市,浦东新区,输入区县,区县级,,,,1110,0
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,河间市,奉贤区,输入区县,区县级,,,,1118,0
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,河间市,浦东新区,输入区县,区县级,,,,1123,0
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,河间市,奉贤区,输入区县,区县级,,,,1122,0
河北省,沧州市,河间市,上海市,上海市,浦东新区,普通货物,16,厢式,成功,,,,河间市,浦东新区,输入区县,区县级,,,,1123,0
河北省,沧州市,河间市,上海市,上海市,奉贤区,普通货物,16,厢式,成功,,,,河间市,奉贤区,输入区县,区县级,,,,1122,0
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,5,厢式,成功,,,,东源县,浦东新区,输入区县,区县级,,,,1253,0
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,5,厢式,成功,,,,东源县,奉贤区,输入区县,区县级,,,,1230,0
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,6.2,厢式,成功,,,,东源县,浦东新区,输入区县,区县级,,,,1253,0
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,6.2,厢式,成功,,,,东源县,奉贤区,输入区县,区县级,,,,1230,0
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,7.7,厢式,成功,,,,东源县,浦东新区,输入区县,区县级,,,,1257,0
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,7.7,厢式,成功,,,,东源县,奉贤区,输入区县,区县级,,,,1233,0
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,8.7,厢式,成功,,,,东源县,浦东新区,输入区县,区县级,,,,1257,0
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,8.7,厢式,成功,,,,东源县,奉贤区,输入区县,区县级,,,,1233,0
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,13,厢式,成功,,,,东源县,浦东新区,输入区县,区县级,,,,1257,0
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,13,厢式,成功,,,,东源县,奉贤区,输入区县,区县级,,,,1233,0
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,6.2,集装箱,成功,,,,东源县,浦东新区,输入区县,区县级,,,,1253,0
广东省,河源市,东源县,上海市,上海市,奉贤区,普通货物,6.2,集装箱,成功,,,,东源县,奉贤区,输入区县,区县级,,,,1230,0
广东省,河源市,东源县,上海市,上海市,浦东新区,普通货物,12.5,集装箱,成功,,,,东源县,浦东新区,输入区县,区县级,,,,1257,0
